,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
5334,M,2022-08-17 19:00:36,2022-08-15, NR,Newpark Resources Inc,Young Donald Win,Dir,P - Purchase,$2.67,"+89,603","213,801",+72%,"+$239,454",,,,
5335,,2022-08-17 19:00:04,2022-08-16, NR,Newpark Resources Inc,Minge John C,Dir,P - Purchase,$2.66,"+15,000","152,045",+11%,"+$39,851",,,,
5336,M,2022-08-17 18:18:19,2022-08-15, KIND,"Nextdoor Holdings, Inc.",Greylock 16 Gp LLC,Member of 10% owner group,P - Purchase,$3.22,"+1,528,500","10,165,572",+18%,"+$4,921,508",,,,
5337,M,2022-08-17 18:01:19,2022-08-15, NSIT,Insight Enterprises Inc,"Valueact Holdings, L.P.","See Remarks, 10%",P - Purchase,$94.06,"+51,601","4,150,827",+1%,"+$4,853,680",,,,
5338,,2022-08-17 17:35:52,2022-08-17, LVO,"Liveone, Inc.",Ellin Robert S,"CEO, COB, 10%",P - Purchase,$1.05,"+20,000","19,568,380",0%,"+$20,901",,,,
5339,M,2022-08-17 17:24:16,2022-08-15, RKT,"Rocket Companies, Inc.",Rizik Matthew,Dir,P - Purchase,$10.82,"+5,900","307,602",+2%,"+$63,838",,,,
5340,,2022-08-17 17:23:58,2022-08-17, CNTX,Context Therapeutics Inc.,Minai-Azary Jennifer Lynn,CFO,P - Purchase,$1.80,"+15,000","15,000",New,"+$27,000",,,,
5341,D,2022-08-17 17:23:24,2022-08-15, FOX,Fox Corp,Murdoch Lachlan K,"Exec Chair, CEO",P - Purchase,$36.50,"+126,773","815,487",+18%,"+$4,627,215",,,,
5342,M,2022-08-17 17:23:14,2022-08-15, RKT,"Rocket Companies, Inc.",Farner Jay,CEO,P - Purchase,$10.74,"+45,200","3,854,607",+1%,"+$485,368",,,,
5343,,2022-08-17 17:22:47,2022-08-16, CNTX,Context Therapeutics Inc.,Sahmoud Tarek,Chief Medical Officer,P - Purchase,$1.95,"+10,000","10,000",New,"+$19,500",,,,
5344,,2022-08-17 17:19:44,2022-08-16, MATV,"Mativ Holdings, Inc.",Keenan Jeffrey,Dir,P - Purchase,$25.57,"+1,500","171,670",+1%,"+$38,360",,,,
5345,M,2022-08-17 17:09:56,2022-08-15, GHL,Greenhill & Co Inc,Bok Scott L,"COB, CEO, 10%",P - Purchase,$8.89,"+110,430","2,723,353",+4%,"+$981,557",,,,
5346,M,2022-08-17 17:06:37,2022-08-15, HSON,"Hudson Global, Inc.",Eberwein Jeffrey E.,CEO,P - Purchase,$34.10,"+1,500","334,252",0%,"+$51,145",,,,
5347,,2022-08-17 17:04:30,2022-08-16, ARRY,"Array Technologies, Inc.",Patel Nipul M.,CFO,P - Purchase,$21.95,"+4,560","108,629",+4%,"+$100,092",,,,
5348,,2022-08-17 17:01:58,2022-05-16, ARRY,"Array Technologies, Inc.",Brinker Erica,Chief Commercial Officer,P - Purchase,$6.98,"+1,100","80,791",+1%,"+$7,673",,,,
5349,,2022-08-17 16:59:22,2022-08-16, CRDAC,Crawford & Co,Verma Rohit,CEO,P - Purchase,$6.52,"+1,000","6,000",+20%,"+$6,525",,,,
5350,,2022-08-17 16:51:34,2022-08-16, CLMT,"Calumet Specialty Products Partners, L.P.",Mawer Stephen P,Exec COB,P - Purchase,$16.17,"+4,321","141,554",+3%,"+$69,867",,,,
5351,,2022-08-17 16:49:01,2022-08-16, SMMT,Summit Therapeutics Inc.,Dhingra Ankur,CFO,P - Purchase,$0.97,"+36,215","76,253",+90%,"+$35,129",,,,
5352,,2022-08-17 16:46:17,2022-08-16, OPRX,Optimizerx Corp,Silvestro Stephen L,CCO,P - Purchase,$15.66,"+3,200","3,200",New,"+$50,112",,,,
5353,,2022-08-17 16:45:42,2022-08-16, OPRX,Optimizerx Corp,Vos Ellen O'Connor,Dir,P - Purchase,$15.91,+500,500,New,"+$7,955",,,,
5354,,2022-08-17 16:45:16,2022-08-15, OPRX,Optimizerx Corp,Stelmakh Edward,"CFO, COO",P - Purchase,$15.43,"+3,000","3,000",New,"+$46,290",,,,
5355,M,2022-08-17 16:44:41,2022-08-15, AAT,"American Assets Trust, Inc.",Rady Ernest S,"COB, CEO, 10%",P - Purchase,$30.31,"+56,700","11,457,657",0%,"+$1,718,688",,,,
5356,M,2022-08-17 16:41:57,2022-08-15, GEOS,Geospace Technologies Corp,Owens Gary D,Dir,P - Purchase,$4.84,"+49,369","488,995",+11%,"+$239,072",,,,
5357,,2022-08-17 16:29:47,2022-08-16, YELL,Yellow Corp,Jones Shaunna D.,Dir,P - Purchase,$7.13,+600,"19,345",+3%,"+$4,280",,,,
5358,,2022-08-17 16:23:41,2022-08-16, MCHX,Marchex Inc,Arends Michael A,Co-CEO,P - Purchase,$2.19,+125,"1,216,854",0%,+$274,,,,
5359,,2022-08-17 16:23:22,2022-08-15, UPLD,"Upland Software, Inc.",McDonald John T,CEO,P - Purchase,$11.22,"+10,000","1,680,950",+1%,"+$112,200",,,,
5360,,2022-08-17 16:21:13,2022-08-16, CRGY,Crescent Energy Co,Kendall Brandi,CFO,P - Purchase,$16.25,+500,"6,000",+9%,"+$8,125",,,,
5361,,2022-08-17 16:21:02,2022-08-15, CRGY,Crescent Energy Co,Shi Bo,See Remarks,P - Purchase,$16.05,"+1,750","9,055",+24%,"+$28,088",,,,
5362,,2022-08-17 16:19:11,2022-08-15, CINC,"Cincor Pharma, Inc.",Sofinnova Partners Sas,10%,P - Purchase,$30.00,"+133,333","4,220,979",+3%,"+$3,999,990",,,,
5363,M,2022-08-17 16:16:39,2022-08-15, KIND,"Nextdoor Holdings, Inc.",Sze David L,Dir,P - Purchase,$3.22,"+1,528,500","711,659",-187%,"+$4,921,508",,,,
5364,M,2022-08-17 16:16:25,2022-08-15, ECL,Ecolab Inc.,Gates William H III,10%,P - Purchase,$176.64,"+143,879","31,014,562",0%,"+$25,415,286",,,,
5365,M,2022-08-17 16:16:07,2022-08-15, MGM,Mgm Resorts International,Iac Inc.,10%,P - Purchase,$35.73,"+279,800","64,097,402",0%,"+$9,996,840",,,,
