,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
64,,2023-01-03 17:10:01,2023-01-03, PRPO,"Precipio, Inc.",Sabet Ahmed Zaki,COO,P - Purchase,$0.60,+750,"6,863",+12%,+$448,,,,
65,,2023-01-03 17:09:02,2023-01-03, PRPO,"Precipio, Inc.",Danieli Ilan,CEO,P - Purchase,$0.60,"+16,500","57,046",+41%,"+$9,857",,,,
66,,2023-01-03 17:03:19,2022-12-31, JAGX,"Jaguar Health, Inc.",Wolin Jonathan S.,"Chief of Staff, CCO, GC",P - Purchase,$0.03,+317,"6,983",+5%,+$10,,,,
67,,2023-01-03 17:00:30,2022-12-30, CSV,Carriage Services Inc,Patteson Donald Douglas Jr,Dir,P - Purchase,$27.50,"+1,000","64,279",+2%,"+$27,500",,,,
68,,2023-01-03 17:00:16,2023-01-03, AKAM,Akamai Technologies Inc,Leighton F Thomson,CEO,P - Purchase,$84.98,+295,"2,351,844",0%,"+$25,069",,,,
69,,2023-01-03 16:57:22,2022-12-30, SPG,Simon Property Group Inc /de/,Selig Stefan M,Dir,P - Purchase,$116.42,+163,"25,709",+1%,"+$18,976",,,,
70,,2023-01-03 16:50:53,2022-12-30, SPG,Simon Property Group Inc /de/,Stewart Marta R,Dir,P - Purchase,$116.42,+150,"9,963",+2%,"+$17,463",,,,
71,,2023-01-03 16:49:29,2022-12-30, SPG,Simon Property Group Inc /de/,Smith J Albert Jr,Dir,P - Purchase,$116.42,+639,"59,477",+1%,"+$74,392",,,,
72,,2023-01-03 16:48:06,2022-12-30, SPG,Simon Property Group Inc /de/,Smith Daniel C.,Dir,P - Purchase,$116.42,+326,"24,407",+1%,"+$37,953",,,,
73,,2023-01-03 16:45:30,2023-01-03, FDX,Fedex Corp,Lane Amy B,Dir,P - Purchase,$175.83,+280,"1,529",+22%,"+$49,233",,,,
74,,2023-01-03 16:45:26,2022-12-30, SPG,Simon Property Group Inc /de/,Roe Peggy Fang,Dir,P - Purchase,$116.42,+30,"2,016",+2%,"+$3,493",,,,
75,,2023-01-03 16:43:15,2022-12-30, SPG,Simon Property Group Inc /de/,Rodkin Gary M,Dir,P - Purchase,$116.42,+194,"12,778",+2%,"+$22,585",,,,
76,,2023-01-03 16:41:13,2022-12-30, KMX,Carmax Inc,Nash William D,"Pres, CEO",P - Purchase,$60.98,"+8,220","165,128",+5%,"+$501,256",,,,
77,,2023-01-03 16:40:37,2022-12-30, SPG,Simon Property Group Inc /de/,Leibowitz Reuben S,Dir,P - Purchase,$116.42,+468,"57,702",+1%,"+$54,485",,,,
78,,2023-01-03 16:38:46,2022-12-30, SPG,Simon Property Group Inc /de/,Hubbard Allan B,Dir,P - Purchase,$116.42,+378,"28,488",+1%,"+$44,007",,,,
79,,2023-01-03 16:36:44,2022-12-30, SPG,Simon Property Group Inc /de/,Horn Karen N,Dir,P - Purchase,$116.42,+510,"33,528",+2%,"+$59,374",,,,
80,,2023-01-03 16:34:38,2022-12-30, SPG,Simon Property Group Inc /de/,Glasscock Larry C,Dir,P - Purchase,$116.42,+335,"34,785",+1%,"+$39,001",,,,
81,,2023-01-03 16:32:07,2022-12-30, WYY,Widepoint Corp,George Robert J,CFO,P - Purchase,$1.83,"+2,000","17,000",+13%,"+$3,660",,,,
82,,2023-01-03 16:31:49,2022-12-30, SPG,Simon Property Group Inc /de/,Aeppel Glyn,Dir,P - Purchase,$116.42,+179,"12,785",+1%,"+$20,839",,,,
83,,2023-01-03 16:30:10,2022-12-28, FPAY,"Flexshopper, Inc.",Dvorkin Howard,"Dir, 10%",P - Purchase,$0.89,"+20,298","3,976,385",+1%,"+$18,065",,,,
84,D,2023-01-03 16:29:55,2022-12-30, VRME,"Verifyme, Inc.",Geller Marshall S,Dir,P - Purchase,$1.19,+500,"369,304",0%,+$596,,,,
85,,2023-01-03 16:24:38,2022-12-29, THRX,"Theseus Pharmaceuticals, Inc.","Foresite Capital Management V, LLC",10%,P - Purchase,$5.00,"+500,000","1,209,275",+70%,"+$2,500,000",,,,
86,M,2023-01-03 16:17:41,2022-12-29, HSON,"Hudson Global, Inc.",Eberwein Jeffrey E.,CEO,P - Purchase,$23.69,"+3,000","388,040",+1%,"+$71,075",,,,
87,M,2023-01-03 16:16:19,2022-12-29, MACK,Merrimack Pharmaceuticals Inc,Andersen Eric,See remarks,P - Purchase,$10.67,"+259,936","306,269",+561%,"+$2,774,716",,,,
88,,2023-01-03 16:10:51,2022-12-30, MPB,Mid Penn Bancorp Inc,Quandel Noble C Jr,Dir,P - Purchase,$29.97,+100,"147,666",0%,"+$2,997",,,,
89,M,2023-01-03 16:05:28,2022-12-29, HQI,"Hirequest, Inc.",Hermanns Richard,"Pres, CEO, 10%",P - Purchase,$15.00,"+6,316","3,480,814",0%,"+$94,709",,,,
90,,2023-01-03 16:03:35,2022-12-30, MPB,Mid Penn Bancorp Inc,Gathagan Maureen M.,Dir,P - Purchase,$29.97,+25,"4,334",+1%,+$749,,,,
91,,2023-01-03 16:02:56,2022-12-30, MPB,Mid Penn Bancorp Inc,Hudson Brian Arden Sr.,Dir,P - Purchase,$29.97,+167,"2,871",+6%,"+$5,005",,,,
92,,2023-01-03 16:02:44,2022-12-30, MPB,Mid Penn Bancorp Inc,Grubic Robert C,Dir,P - Purchase,$29.97,+166,"58,161",0%,"+$4,975",,,,
93,M,2023-01-03 16:02:13,2022-12-29, ASPU,"Aspen Group, Inc.",Kass Douglas,Dir,P - Purchase,$0.28,"+15,250","275,144",+6%,"+$4,290",,,,
94,,2023-01-03 15:03:14,2022-12-30, MPB,Mid Penn Bancorp Inc,Kerwin Gregory M,Dir,P - Purchase,$29.97,+33,"39,557",0%,+$989,,,,
95,,2023-01-03 15:01:39,2022-12-30, MPB,Mid Penn Bancorp Inc,De Soto Matthew G,Dir,P - Purchase,$29.97,+250,"50,894",0%,"+$7,493",,,,
96,,2023-01-03 15:00:01,2022-12-30, MPB,Mid Penn Bancorp Inc,Brumbaugh Kimberly J,Dir,P - Purchase,$29.97,+83,"5,882",+1%,"+$2,488",,,,
97,,2023-01-03 14:58:32,2022-12-30, MPB,Mid Penn Bancorp Inc,Abel Robert A,Dir,P - Purchase,$29.97,+17,"23,476",0%,+$509,,,,
98,,2023-01-03 14:52:28,2022-12-30, MPB,Mid Penn Bancorp Inc,Mowery Theodore W,Dir,P - Purchase,$29.97,+67,"35,776",0%,"+$2,008",,,,
99,M,2023-01-03 14:42:58,2022-12-29, CAMP,Calamp Corp.,Cummins Wes,Dir,P - Purchase,$4.42,"+55,000","3,401,972",+2%,"+$243,097",,,,
100,A,2023-01-13 21:30:55,2022-12-16, KRT,Karat Packaging Inc.,Cheng Marvin,"VP-Manufacturing, Secy",P - Purchase,$13.44,"+1,000","6,749,727",0%,"+$13,440",,,,
101,M,2023-01-13 19:13:38,2023-01-11, APPN,Appian Corp,"Abdiel Capital Management, LLC",10%,P - Purchase,$32.96,"+265,000","18,165,017",+1%,"+$8,735,162",,,,
102,M,2023-01-13 18:48:22,2022-12-14, KVHI,Kvh Industries Inc de,"Needham Group, Inc.",10%,P - Purchase,$9.87,"+3,700","1,932,750",0%,"+$36,505",,,,
103,,2023-01-13 18:45:51,2023-01-12, RHE.A,"Regional Health Properties, Inc",Frischer Charles L,10%,P - Purchase,$3.10,+700,"472,379",0%,"+$2,170",,,,
104,M,2023-01-13 18:20:08,2023-01-11, FATE,Fate Therapeutics Inc,Mendlein John,Dir,P - Purchase,$5.60,"+124,679","282,770",+79%,"+$698,138",,,,
105,M,2023-01-13 18:18:55,2022-05-27, KVHI,Kvh Industries Inc de,"Needham Group, Inc.",10%,P - Purchase,$7.74,"+15,500","1,905,400",+1%,"+$120,024",,,,
106,,2023-01-13 17:28:17,2023-01-13, KMPH,"Kempharm, Inc",Clifton R. Laduane,"CFO, Secretary, Treasurer",P - Purchase,$5.81,+635,"9,277",+7%,"+$3,690",,,,
107,,2023-01-13 17:27:31,2023-01-13, KMPH,"Kempharm, Inc",Pascoe Richard W,CEO,P - Purchase,$5.44,"+9,500","19,973",+91%,"+$51,679",,,,
108,DM,2023-01-13 17:08:35,2023-01-11, KYMR,"Kymera Therapeutics, Inc.",Bvf Partners L P/Il,See Remarks and Footnotes,P - Purchase,$30.51,"+41,007","2,146,105",+2%,"+$1,251,191",,,,
109,,2023-01-13 17:07:12,2023-01-12, DHHC,Diamondhead Holdings Corp.,Hamamoto David T,"Co-CEO, COB",P - Purchase,$10.09,"+1,000,000","1,000,000",New,"+$10,090,000",,,,
110,,2023-01-13 16:38:39,2022-12-22, ALMU,"Aeluma, Inc.",Tompkins Mark N.,10%,P - Purchase,$3.00,"+83,333","2,715,833",+3%,"+$249,999",,,,
111,M,2023-01-13 16:31:12,2023-01-03, ETST,"Earth Science Tech, Inc.",Saumat Giorgio R.,"Dir, 10%",P - Purchase,$0.01,"+6,010,000","81,916,478",+8%,"+$30,310",,,,
112,M,2023-01-13 16:19:44,2022-12-23, RXRX,"Recursion Pharmaceuticals, Inc.",Mubadala Investment Co Pjsc,10%,P - Purchase,$7.50,"+1,029,795","19,384,601",+6%,"+$7,725,857",,,,
113,M,2023-01-13 16:08:40,2023-01-11, AKAM,Akamai Technologies Inc,Leighton F Thomson,CEO,P - Purchase,$88.44,+850,"2,354,152",0%,"+$75,175",,,,
114,,2023-01-13 16:05:43,2023-01-11, PSIX,"Power Solutions International, Inc.",Gagnon Neil,10%,P - Purchase,$3.00,+500,"1,345,542",0%,"+$1,500",,,,
115,,2023-01-13 15:35:22,2023-01-13, PLAY,"Dave & Buster'S Entertainment, Inc.",Pineiro Antonio,"SVP, Chief Int'l Dev Ofc",P - Purchase,$42.54,"+3,000","23,312",+15%,"+$127,632",,,,
116,,2023-01-13 12:47:45,2023-01-11, PLAY,"Dave & Buster'S Entertainment, Inc.",Jones Randall L,"VP Accounting, Controller",P - Purchase,$40.81,"+1,235","5,284",+31%,"+$50,397",,,,
117,D,2023-01-13 10:57:57,2023-01-12, APLD,"Applied Blockchain, Inc.",Cummins Wes,"CEO; COB, 10%",P - Purchase,$2.17,"+50,000","22,687,754",0%,"+$108,500",,,,
118,,2023-01-13 10:57:49,2023-01-12, TPL,Texas Pacific Land Corp,Stahl Murray,Dir,P - Purchase,"$2,137.07",+21,"360,104",0%,"+$44,879",,,,
119,M,2023-01-12 21:00:22,2023-01-10, ALTI,"Alvarium Tiedemann Holdings, Inc.",Yu Peter,"Dir, 10%",P - Purchase,$9.48,"+152,590","6,781,721",+2%,"+$1,446,884",,,,
120,,2023-01-12 19:47:39,2023-01-11, CMTL,Comtech Telecommunications Corp /de/,Peterman Ken Allen,"COB, Pres, CEO",P - Purchase,$12.75,"+44,000","44,000",New,"+$560,944",,,,
121,,2023-01-12 19:40:36,2023-01-10, MICS,Singing Machine Co Inc,"Ault Alliance, Inc.",10%,P - Purchase,$4.42,+300,"1,805,200",0%,"+$1,325",,,,
